Vivian Beaumont,,,,,
,,,,,
,,,,,
,,Studio 54,,,
,August Wilson,Broadway,,,
,Neil Simon,Neil Simon,,,
,Gershwin,Circle in the Square,,Winter Garden,
,Ambassador,Ambassador,,,
,Eugene ONeill,Walter Kerr,,,
,Samuel J. Friedman,Longacre,,Cort,
,Samuel J. Friedman,Ethel Barrymore,,Cort,
,Brooks Atkinson,Lunt-Fontanne,,,Palace
,Imperial,Richard Rodgers,Marquis,,Lyceum
,Imperial,Richard Rodgers,Music Box,,Lyceum
Al Hirschfeld,John Golden,Bernard B. Jacobs,Gerald Schoenfeld,Booth,Belasco
Al Hirschfeld,Majestic,Broadhurst,Shubert,Minskoff,Belasco
,St. James,St. James,Helen Hayes,,
,,American Airlines,Lyric,,Stephen Sondheim
,,New Amsterdam,New Amsterdam,,
